program,size,time
omp,34,129.0483
omp,35,102.8548
omp,36,38.3246
omp,37,29.252699999999997
omp,38,6.8772
omp,39,8.1937
omp,40,2.3875
omp,41,1.264
omp,42,0.6547999999999998
omp,43,0.39659999999999995
omp,44,0.27
omp,45,0.144
omp,46,0.09849999999999999
omp,47,0.089
omp,48,0.08169999999999998
cu,34,4.0685
cu,35,2.2548
cu,36,1.9263
cu,37,1.7203
cu,38,1.5011
cu,39,1.5284999999999997
cu,40,1.4758000000000002
cu,41,1.3891000000000002
cu,42,1.4102000000000001
cu,43,1.442
cu,44,1.4336
cu,45,1.44
cu,46,1.4435
cu,47,1.4454
cu,48,1.3726
