blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,fb_subp0_read_sectors,fb_subp1_read_sectors,fb_subp0_write_sectors,fb_subp1_write_sectors,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
80,256,20480,0.1351417,15446.470000000001,0.982,93.59799999999998,25.705000000000002,90.01000000000002,83.53099999999999,12.596,3.79,8.615,14.967999999999998,24.095000000000002,0.5177047,90.65,20101.6,24078.1,842822.6,848662.7,843143.6,841156.1,21049.2,20362.3,92818.6,95553.4,2058391.2,2056800.2,69915.4,73211.4,1833485.2,1834937.0,90860.0,93822.1,2445890.8,2442628.6,15393750.2,127051.6,830722.0,3083.3,33.0,310355.2,236929.6
4,256,1024,1.434017,106473.3,6.103,94.811,25.961000000000002,103.55999999999999,97.158,12.503000000000002,3.79,5.941,30.616999999999997,17.706,1.0537339000000001,4.829,34.6,7.4,2803.5,728.9,2959.5,2937.2,51.0,46.8,38666.4,37064.3,1350244.0,1375133.0,38485.0,36953.2,1333004.0,1357605.0,40175.6,38665.5,1340370.1,1365244.0,84646013.0,82934.8,542266.0,1626.9,33.0,200928.0,133502.0
80,4,320,3.298108,472796.5,0.8020000000000002,98.396,28.560000000000002,94.982,99.48299999999999,12.581999999999999,3.79,16.216,64.37899999999999,19.024,0.24374450000000003,98.104,2139.7,3137.9,8907.5,18433.3,8747.9,8818.5,2102.2,2092.7,37067.8,48461.4,2226453.4,2216341.2,36667.8,47427.4,2224164.1,2215351.7,40113.8,51228.1,2235114.9,2219813.3,125933795.4,544180.0,3558100.0,10545.0,33.0,1339987.2,883505.6
2,4,8,75.37069999999999,15781890.0,0.479,98.83800000000002,28.708,99.96200000000002,100.005,12.326,3.79,18.126,63.938,17.714,0.2426866,2.5,144.2,31.0,452.7,289.7,399.9,388.1,161.8,153.6,63513.0,99349.3,4443632.2,4187236.8,67574.3,95351.9,4449400.9,4187186.0,71652.7,102839.4,4397617.3,4231429.9,9891893711.8,1059422.0,6926990.0,20375.5,33.0,2605088.0,1709672.0
16,2,32,11.697030000000002,3138161.1,1.3499999999999999,98.69500000000001,28.472,98.184,99.73400000000001,12.44,3.79,18.152,63.705999999999996,17.878000000000004,0.24166949999999998,19.889999999999997,628.5,208.0,5463.8,2282.2,5479.2,5259.1,705.3,708.9,128691.9,165116.0,7835041.6,7680916.2,126290.8,167070.6,7731216.1,7761471.6,134080.9,167889.2,7805043.6,7729601.1,2220436997.6,1901692.0,12434140.0,36587.0,33.0,4696633.6,3082976.8
32,64,2048,0.37886790000000004,82713.8,2.768,97.94899999999998,28.288,94.855,99.256,12.523,3.79,15.166999999999998,53.39300000000001,16.383000000000003,0.4198301,38.077,6.6,21.5,3767.0,12424.4,4192.0,4213.7,8.9,6.8,25618.2,27597.4,1406528.0,1398433.0,24693.8,26766.6,1395843.2,1385029.4,27910.2,30152.6,1405871.8,1399294.9,29548295.6,85654.4,560048.0,1711.2,33.0,210412.8,141390.4
4,4,16,56.96679999999999,16741210.0,0.307,98.83700000000002,28.707000000000004,99.89000000000001,100.00699999999999,12.434999999999999,3.79,18.137,63.911,17.728,0.24273899999999998,4.997000000000001,98.4,311.4,556.7,757.2,542.3,526.9,103.6,105.0,72637.9,97023.3,4580812.0,4378718.6,76343.7,93366.1,4553378.7,4424993.6,79177.9,99838.6,4557297.9,4421120.3,5144969376.0,1101094.8,7199466.0,21178.9,33.0,2713094.4,1780655.2
80,32,2560,0.11471970000000001,80244.35,2.41,97.839,28.275000000000006,100.078,98.41400000000002,12.373999999999999,3.79,15.006,53.43300000000001,17.036,0.2099116,95.29700000000001,14.1,40.9,21663.8,27020.9,22303.1,22855.9,11.2,10.9,26810.2,28900.4,1416310.4,1409617.0,26418.6,28646.2,1407468.8,1396780.2,29150.6,31612.5,1422975.0,1416919.5,23959430.8,86112.0,563040.0,1736.0,33.0,211718.4,143079.2
32,128,4096,0.15055610000000003,27751.620000000003,4.1850000000000005,97.851,27.309000000000005,96.904,99.45,13.725,3.79,13.859,37.729,15.382,0.6253501,35.736000000000004,10.9,24.6,56395.7,62089.4,56510.3,58112.7,12.1,7.9,60628.4,65280.7,3405476.8,3390933.8,58802.4,63470.9,3403573.6,3389022.6,61951.6,66748.8,3403816.4,3389255.4,43704074.4,207890.8,1359286.0,4125.9,33.0,511456.0,342278.0
16,64,1024,0.6859890000000001,94419.0,5.508000000000001,98.125,28.440000000000005,97.755,99.123,12.265,3.79,16.704,52.614,16.436,0.41511060000000005,18.991999999999997,15.0,4.1,2265.5,1509.4,2588.6,2547.2,22.0,19.6,13963.6,15052.4,794874.4,783667.4,13834.2,14851.4,788703.6,783939.0,16547.8,17912.0,791590.5,790752.5,33327462.0,48131.2,314704.0,957.6,33.0,118816.0,79616.0
