==1876== NVPROF is profiling process 1876, command: ./0123HomeWork 2 2
==1876== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1876== Profiling application: ./0123HomeWork 2 2
==1876== Profiling result:
==1876== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X2 (0)"
    Kernel: find_hash(int, int)
          1              l2_subp0_write_sector_misses          53          53          53          53
          1              l2_subp1_write_sector_misses           0           0           0           0
          1               l2_subp0_read_sector_misses      575926      575926      575926      575926
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries     1527858     1527858     1527858     1527858
          1          l2_subp1_read_tex_sector_queries     1182702     1182702     1182702     1182702
          1         l2_subp0_write_tex_sector_queries     2105275     2105275     2105275     2105275
          1         l2_subp1_write_tex_sector_queries     2466360     2466360     2466360     2466360
          1             l2_subp0_read_tex_hit_sectors     1253546     1253546     1253546     1253546
          1             l2_subp1_read_tex_hit_sectors     1435526     1435526     1435526     1435526
          1            l2_subp0_write_tex_hit_sectors     2628519     2628519     2628519     2628519
          1            l2_subp1_write_tex_hit_sectors     1941082     1941082     1941082     1941082
          1        l2_subp0_total_read_sector_queries     1709704     1709704     1709704     1709704
          1        l2_subp1_total_read_sector_queries     1456138     1456138     1456138     1456138
          1       l2_subp0_total_write_sector_queries     2105199     2105199     2105199     2105199
          1       l2_subp1_total_write_sector_queries     2466240     2466240     2466240     2466240
          1                         elapsed_cycles_sm   415463230   415463230   415463230   415463230
          1                              generic_load     1051284     1051284     1051284     1051284
          1                             generic_store      646944      646944      646944      646944
          1                               global_load       20219       20219       20219       20219
          1                              global_store          33          33          33          33
          1                                local_load     1294624     1294624     1294624     1294624
          1                               local_store     1982418     1982418     1982418     1982418
