==25660== NVPROF is profiling process 25660, command: ./0123HomeWork 32 2
==25660== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25660== Profiling application: ./0123HomeWork 32 2
==25660== Profiling result:
==25660== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X2 (0)"
    Kernel: find_hash(int, int)
          1              l2_subp0_write_sector_misses      914956      914956      914956      914956
          1              l2_subp1_write_sector_misses      841037      841037      841037      841037
          1               l2_subp0_read_sector_misses      276929      276929      276929      276929
          1               l2_subp1_read_sector_misses       81116       81116       81116       81116
          1          l2_subp0_read_tex_sector_queries     2230302     2230302     2230302     2230302
          1          l2_subp1_read_tex_sector_queries     2233142     2233142     2233142     2233142
          1         l2_subp0_write_tex_sector_queries     3825079     3825079     3825079     3825079
          1         l2_subp1_write_tex_sector_queries     3706910     3706910     3706910     3706910
          1             l2_subp0_read_tex_hit_sectors     2150961     2150961     2150961     2150961
          1             l2_subp1_read_tex_hit_sectors     2157467     2157467     2157467     2157467
          1            l2_subp0_write_tex_hit_sectors     3814585     3814585     3814585     3814585
          1            l2_subp1_write_tex_hit_sectors        7730        7730        7730        7730
          1        l2_subp0_total_read_sector_queries     2264878     2264878     2264878     2264878
          1        l2_subp1_total_read_sector_queries     2204820     2204820     2204820     2204820
          1       l2_subp0_total_write_sector_queries     3879523     3879523     3879523     3879523
          1       l2_subp1_total_write_sector_queries     3758716     3758716     3758716     3758716
          1                         elapsed_cycles_sm    52175212    52175212    52175212    52175212
          1                              generic_load     1768416     1768416     1768416     1768416
          1                             generic_store     1088256     1088256     1088256     1088256
          1                               global_load       34040       34040       34040       34040
          1                              global_store          33          33          33          33
          1                                local_load     2131808     2131808     2131808     2131808
          1                               local_store     3265466     3265466     3265466     3265466
