==22769== NVPROF is profiling process 22769, command: ./0123HomeWork 64 8
==22769== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22769== Profiling application: ./0123HomeWork 64 8
==22769== Profiling result:
==22769== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X2 (0)"
    Kernel: find_hash(int, int)
          1              l2_subp0_write_sector_misses      495717      495717      495717      495717
          1              l2_subp1_write_sector_misses      458074      458074      458074      458074
          1               l2_subp0_read_sector_misses       68994       68994       68994       68994
          1               l2_subp1_read_sector_misses       25315       25315       25315       25315
          1          l2_subp0_read_tex_sector_queries     1209781     1209781     1209781     1209781
          1          l2_subp1_read_tex_sector_queries     1211937     1211937     1211937     1211937
          1         l2_subp0_write_tex_sector_queries     2099125     2099125     2099125     2099125
          1         l2_subp1_write_tex_sector_queries     2034104     2034104     2034104     2034104
          1             l2_subp0_read_tex_hit_sectors     1212562     1212562     1212562     1212562
          1             l2_subp1_read_tex_hit_sectors     1204553     1204553     1204553     1204553
          1            l2_subp0_write_tex_hit_sectors     2101715     2101715     2101715     2101715
          1            l2_subp1_write_tex_hit_sectors        7836        7836        7836        7836
          1        l2_subp0_total_read_sector_queries     1267343     1267343     1267343     1267343
          1        l2_subp1_total_read_sector_queries     1225643     1225643     1225643     1225643
          1       l2_subp0_total_write_sector_queries     2078455     2078455     2078455     2078455
          1       l2_subp1_total_write_sector_queries     2013446     2013446     2013446     2013446
          1                         elapsed_cycles_sm    27846702    27846702    27846702    27846702
          1                              generic_load      957008      957008      957008      957008
          1                             generic_store      588928      588928      588928      588928
          1                               global_load       18468       18468       18468       18468
          1                              global_store          33          33          33          33
          1                                local_load     1156640     1156640     1156640     1156640
          1                               local_store     1773424     1773424     1773424     1773424
