==19827== NVPROF is profiling process 19827, command: ./0123HomeWork 80 64
==19827== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19827== Profiling application: ./0123HomeWork 80 64
==19827== Profiling result:
==19827== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X2 (0)"
    Kernel: find_hash(int, int)
          1              l2_subp0_write_sector_misses      366010      366010      366010      366010
          1              l2_subp1_write_sector_misses      337877      337877      337877      337877
          1               l2_subp0_read_sector_misses       22209       22209       22209       22209
          1               l2_subp1_read_sector_misses        6273        6273        6273        6273
          1          l2_subp0_read_tex_sector_queries      905132      905132      905132      905132
          1          l2_subp1_read_tex_sector_queries      894975      894975      894975      894975
          1         l2_subp0_write_tex_sector_queries     1575613     1575613     1575613     1575613
          1         l2_subp1_write_tex_sector_queries     1527124     1527124     1527124     1527124
          1             l2_subp0_read_tex_hit_sectors      905608      905608      905608      905608
          1             l2_subp1_read_tex_hit_sectors      898450      898450      898450      898450
          1            l2_subp0_write_tex_hit_sectors     1579413     1579413     1579413     1579413
          1            l2_subp1_write_tex_hit_sectors    11197860    11197860    11197860    11197860
          1        l2_subp0_total_read_sector_queries      925293      925293      925293      925293
          1        l2_subp1_total_read_sector_queries      902341      902341      902341      902341
          1       l2_subp0_total_write_sector_queries     1582739     1582739     1582739     1582739
          1       l2_subp1_total_write_sector_queries     1534492     1534492     1534492     1534492
          1                         elapsed_cycles_sm     5818304     5818304     5818304     5818304
          1                              generic_load      177632      177632      177632      177632
          1                             generic_store      109312      109312      109312      109312
          1                               global_load        3576        3576        3576        3576
          1                              global_store          33          33          33          33
          1                                local_load      216160      216160      216160      216160
          1                               local_store      336866      336866      336866      336866
