==23300== NVPROF is profiling process 23300, command: ./0123HomeWork 64 2
==23300== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23300== Profiling application: ./0123HomeWork 64 2
==23300== Profiling result:
==23300== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X2 (0)"
    Kernel: find_hash(int, int)
          1              l2_subp0_write_sector_misses     1478121     1478121     1478121     1478121
          1              l2_subp1_write_sector_misses     1359931     1359931     1359931     1359931
          1               l2_subp0_read_sector_misses      442761      442761      442761      442761
          1               l2_subp1_read_sector_misses      128967      128967      128967      128967
          1          l2_subp0_read_tex_sector_queries     3655859     3655859     3655859     3655859
          1          l2_subp1_read_tex_sector_queries     3657797     3657797     3657797     3657797
          1         l2_subp0_write_tex_sector_queries     6264504     6264504     6264504     6264504
          1         l2_subp1_write_tex_sector_queries     6070943     6070943     6070943     6070943
          1             l2_subp0_read_tex_hit_sectors     3557345     3557345     3557345     3557345
          1             l2_subp1_read_tex_hit_sectors     3566731     3566731     3566731     3566731
          1            l2_subp0_write_tex_hit_sectors     6279883     6279883     6279883     6279883
          1            l2_subp1_write_tex_hit_sectors        7714        7714        7714        7714
          1        l2_subp0_total_read_sector_queries     3782320     3782320     3782320     3782320
          1        l2_subp1_total_read_sector_queries     3655327     3655327     3655327     3655327
          1       l2_subp0_total_write_sector_queries     6258433     6258433     6258433     6258433
          1       l2_subp1_total_write_sector_queries     6065066     6065066     6065066     6065066
          1                         elapsed_cycles_sm    83826050    83826050    83826050    83826050
          1                              generic_load     2843620     2843620     2843620     2843620
          1                             generic_store     1749920     1749920     1749920     1749920
          1                               global_load       54749       54749       54749       54749
          1                              global_store          33          33          33          33
          1                                local_load     3493088     3493088     3493088     3493088
          1                               local_store     5351110     5351110     5351110     5351110
