==25136== NVPROF is profiling process 25136, command: ./0123HomeWork 32 32
==25136== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25136== Profiling application: ./0123HomeWork 32 32
==25136== Profiling result:
==25136== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors         604         604         604         604
          1                     fb_subp1_read_sectors         224         224         224         224
          1                    fb_subp0_write_sectors       16057       16057       16057       16057
          1                    fb_subp1_write_sectors        2199        2199        2199        2199
          1              l2_subp0_write_sector_misses       16587       16587       16587       16587
          1              l2_subp1_write_sector_misses       16204       16204       16204       16204
          1               l2_subp0_read_sector_misses         757         757         757         757
          1               l2_subp1_read_sector_misses         740         740         740         740
          1          l2_subp0_read_tex_sector_queries    29978738    29978738    29978738    29978738
          1          l2_subp1_read_tex_sector_queries    32712021    32712021    32712021    32712021
          1         l2_subp0_write_tex_sector_queries  1817817256  1817817256  1817817256  1817817256
          1         l2_subp1_write_tex_sector_queries  1823762617  1823762617  1823762617  1823762617
          1             l2_subp0_read_tex_hit_sectors    29141460    29141460    29141460    29141460
          1             l2_subp1_read_tex_hit_sectors    33423505    33423505    33423505    33423505
          1            l2_subp0_write_tex_hit_sectors  1826391388  1826391388  1826391388  1826391388
          1            l2_subp1_write_tex_hit_sectors  1815830617  1815830617  1815830617  1815830617
          1        l2_subp0_total_read_sector_queries    30012230    30012230    30012230    30012230
          1        l2_subp1_total_read_sector_queries    32743441    32743441    32743441    32743441
          1       l2_subp0_total_write_sector_queries  1826739635  1826739635  1826739635  1826739635
          1       l2_subp1_total_write_sector_queries  1816178683  1816178683  1816178683  1816178683
          1                         elapsed_cycles_sm  6.5818e+10  6.5818e+10  6.5818e+10  6.5818e+10
          1                              generic_load   112163688   112163688   112163688   112163688
          1                             generic_store   733377960   733377960   733377960   733377960
          1                               global_load     2157026     2157026     2157026     2157026
          1                              global_store          33          33          33          33
          1                                local_load   276690592   276690592   276690592   276690592
          1                               local_store   181579844   181579844   181579844   181579844
