==37843== NVPROF is profiling process 37843, command: ./0123HomeWork 8 256
==37843== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==37843== Profiling application: ./0123HomeWork 8 256
==37843== Profiling result:
==37843== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors          56          56          56          56
          1                     fb_subp1_read_sectors          12          12          12          12
          1                    fb_subp0_write_sectors         256         256         256         256
          1                    fb_subp1_write_sectors         217         217         217         217
          1              l2_subp0_write_sector_misses         392         392         392         392
          1              l2_subp1_write_sector_misses         208         208         208         208
          1               l2_subp0_read_sector_misses          48          48          48          48
          1               l2_subp1_read_sector_misses          44          44          44          44
          1          l2_subp0_read_tex_sector_queries     7260834     7260834     7260834     7260834
          1          l2_subp1_read_tex_sector_queries     7306632     7306632     7306632     7306632
          1         l2_subp0_write_tex_sector_queries   219928056   219928056   219928056   219928056
          1         l2_subp1_write_tex_sector_queries   220331273   220331273   220331273   220331273
          1             l2_subp0_read_tex_hit_sectors     7388842     7388842     7388842     7388842
          1             l2_subp1_read_tex_hit_sectors     7420023     7420023     7420023     7420023
          1            l2_subp0_write_tex_hit_sectors   222158084   222158084   222158084   222158084
          1            l2_subp1_write_tex_hit_sectors   222578269   222578269   222578269   222578269
          1        l2_subp0_total_read_sector_queries     7302376     7302376     7302376     7302376
          1        l2_subp1_total_read_sector_queries     7338317     7338317     7338317     7338317
          1       l2_subp0_total_write_sector_queries   214313715   214313715   214313715   214313715
          1       l2_subp1_total_write_sector_queries   214727335   214727335   214727335   214727335
          1                         elapsed_cycles_sm  6757852728  6757852728  6757852728  6757852728
          1                              generic_load    13802828    13802828    13802828    13802828
          1                             generic_store    90249260    90249260    90249260    90249260
          1                               global_load      265503      265503      265503      265503
          1                              global_store          33          33          33          33
          1                                local_load    33285664    33285664    33285664    33285664
          1                               local_store    21847024    21847024    21847024    21847024
