blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
80,4,320,73.28515000000002,485110.0,0.0,0.0,0.2742857142857143,12.577142857142858,3.7899999999999996,9.481428571428571,24.998571428571427,49.98714285714285,1.8612985714285715,99.95857142857143,398366.3,366851.0,123399.4,37158.8,984431.3,985119.7,1703499.2,1650802.6,962863.7,965421.4,1696915.5,7706.3,1025307.7,991176.9,1686993.4,1634568.4,22438616.6,766958.4,471974.4,14829.2,33.0,940672.0,1443315.0
2,4,8,279.79419999999993,13344455.0,0.0,0.024999999999999998,0.037500000000000006,12.487499999999999,3.7899999999999996,17.0425,27.44875,47.45624999999999,0.135016625,99.96,44.3,0.0,495161.6,0.0,1102876.4,854067.6,1519471.8,1781003.6,905546.2,1037010.1,1899050.0,1402397.2,1252196.6,1051957.7,1519746.0,1780986.1,300684060.4,760572.8,468044.8,14628.4,33.0,934688.0,1431266.0
16,2,32,246.32229999999998,4194563.166666667,0.0,0.013333333333333334,0.023333333333333334,12.433333333333332,3.7899999999999996,7.428333333333334,27.853333333333335,52.968333333333334,0.9655713333333334,99.45666666666666,470.9,207.3,150556.4,36140.9,2303329.6,2294808.6,3997867.4,3757631.2,2302915.0,2260097.7,3999012.9,3999.9,2439584.5,2294972.4,3997927.3,3757714.3,98889606.2,1784276.0,1098016.0,34329.0,33.0,2196147.2,3363393.4
32,64,2048,10.60472,90276.4,75.0,50.0,50.138,12.440000000000001,3.79,7.896000000000001,23.740999999999996,52.83200000000001,1.5752019000000002,99.706,273825.5,250864.3,16496.0,4763.0,679546.8,672211.2,1163707.0,1128217.2,673178.4,668300.8,1169692.2,1515394.4,690107.3,673991.6,1175568.8,1139618.2,4355753.4,131669.2,81027.2,2596.1,33.0,162336.0,250896.0
4,4,16,191.8145,10723065.0,0.0,0.011666666666666665,0.021666666666666667,12.520000000000001,3.7899999999999996,14.031666666666666,28.21666666666667,49.779999999999994,0.27493149999999994,99.94166666666666,44.8,10.2,168226.7,12990.3,846303.6,803286.6,1569122.9,1212349.7,821357.7,815103.0,1384748.4,1161.4,1084900.0,719922.1,1543989.8,1236473.2,127576574.0,639776.8,393708.8,12307.4,33.0,787891.2,1206557.4
80,32,2560,7.979266999999998,53793.93999999999,75.0,50.001999999999995,50.559,12.262,3.79,8.191,24.344,50.589,1.5178671,99.485,181292.8,165836.6,12114.9,3322.7,449945.8,444780.7,777759.4,753918.4,444299.2,440901.6,775392.6,26402.4,454406.6,443421.4,771653.2,747941.0,2836123.8,87334.0,53744.0,1759.5,33.0,107456.0,167453.0
32,128,4096,15.189510000000002,36958.3,75.0,50.003,49.00099999999999,12.108999999999998,3.79,7.669999999999999,24.130000000000003,49.602,1.4531865,99.363,283677.1,259828.1,18419.0,5007.5,703961.6,696096.9,1215945.4,1177749.2,701034.0,695938.8,1212721.4,949927.2,717907.6,701371.2,1214711.2,1177205.4,4452165.0,137066.8,84348.8,2763.9,33.0,168128.0,262133.0
16,64,1024,11.74601,190317.0,75.0,50.0,50.147000000000006,12.222,3.79,8.003,24.285000000000004,51.17199999999999,1.5712754000000002,99.34700000000001,279387.8,255793.7,17821.6,4813.1,698476.2,690453.2,1197076.2,1160172.0,694596.8,689481.6,1204045.0,837604.4,704747.7,687664.5,1194934.8,1158094.6,4362845.8,134752.8,82924.8,2623.4,33.0,166803.2,256552.4
2,8,16,214.06959999999998,9595230.0,50.0,50.0,50.003,12.516000000000002,3.79,16.79,27.181,48.063,0.1337784,99.98400000000001,47.9,0.0,253911.0,0.0,516850.5,400374.1,712503.8,835364.2,424334.0,485924.0,890952.0,657955.6,596071.5,493128.5,713354.4,836057.8,141792859.6,355960.8,219052.8,6847.4,33.0,438105.6,670874.2
4,16,64,34.56228,2929337.0,50.0,50.0,49.942,12.490999999999998,3.79,13.960000000000003,28.112000000000002,49.912,0.273832,99.953,47.2,7.8,102879.2,7237.7,953565.6,898169.5,1768796.0,1366695.4,926064.8,918970.4,1561730.8,2573.2,1150222.3,805007.7,1740619.4,1393998.0,72644926.4,360672.0,221952.0,6940.0,33.0,443891.2,679807.4
64,8,512,44.99078,462564.55,50.0,50.004,50.066,12.485000000000001,3.79,9.228,24.378,50.064,1.7730589,99.162,272189.3,250929.3,40258.4,14053.1,676118.2,676775.6,1157354.1,1121567.5,663961.5,659481.6,1151002.7,3954009.6,693967.2,669675.4,1146045.6,1110464.2,15053179.2,524602.0,322832.0,10152.5,33.0,646156.8,991746.6
64,2,128,79.33348000000001,2013699.3333333333,0.0,0.013333333333333334,0.8133333333333335,12.333333333333334,3.7899999999999996,9.005,23.301666666666666,52.27166666666667,1.689273,99.84166666666665,1115505.4,1027475.7,335544.7,98413.8,2784463.9,2787500.3,4731196.7,4584121.9,2716806.1,2724243.4,4724420.6,11037307.4,2862106.3,2775892.7,4767823.2,4619483.8,64264859.2,2149487.6,1322761.6,41400.3,33.0,2661235.2,4077335.4
1,1,1,1747.5023,143903600.0,0.0,0.0,0.0,12.5,3.5780000000000003,16.201,27.540000000000003,48.215999999999994,0.1352839,50.0,50.375,0.0,1800855.125,0.0,2974567.25,2070908.25,4217170.0,4292421.5,2334423.5,2673298.25,4894898.5,3614693.0,4033238.75,2711286.5,4217187.75,4292433.75,1550097445.0,1957943.0,1204888.0,37653.75,33.0,2409808.0,3690006.5
16,8,128,60.89384,1456389.9,50.0,50.001999999999995,49.992000000000004,12.488999999999999,3.79,7.2780000000000005,28.117,52.96600000000001,0.964815,99.82900000000002,196.3,189.5,38045.0,7920.8,510600.8,508759.2,886508.7,833230.5,510557.0,501126.8,885277.9,4160.8,547106.3,508889.0,886583.4,833298.8,21348823.4,395475.6,243369.6,7621.3,33.0,486880.0,746078.0
2,1,2,698.9404000000001,67487400.0,0.0,0.0,0.004,12.472,3.79,16.812,27.25,47.936,0.134172,100.0,44.3,0.0,675179.1,0.0,1770755.4,1371579.4,2439579.0,2860431.4,1453700.6,1664735.3,3047808.0,2250710.8,1989127.1,1688646.5,2437893.2,2858034.0,484410877.8,1219036.0,750176.0,23445.0,33.0,1500844.8,2298193.6
2,256,512,16.109370000000002,320700.1,75.0,50.0,50.068,12.498000000000001,3.79,7.043000000000001,28.937,49.253,0.906231,99.535,62.0,29.3,13046.7,2314.1,529056.4,521615.2,925012.6,869387.6,531584.4,522154.0,918393.8,15578.8,542738.8,523673.0,928017.2,872289.0,5984159.2,102887.2,63315.2,1994.6,33.0,126188.8,193769.6
16,16,256,33.88767,358894.66000000003,50.0,50.006,49.538,12.431999999999999,3.79,8.502999999999998,29.081000000000007,49.685,0.9844045999999999,97.91999999999999,140.4,51.0,21681.7,4172.9,517758.2,512056.1,899207.6,845192.6,517661.8,508093.4,897039.6,8288.2,536607.4,512322.1,899550.6,845512.4,10693834.8,200465.2,123363.2,3871.1,33.0,246873.6,378568.2
32,4,128,62.56779999999999,2139344.2,0.0,0.004,0.41999999999999993,12.434000000000001,3.79,9.594,25.414,48.9,1.8539146,99.85,585757.6,539601.4,178339.5,53441.2,1463457.2,1464614.8,2507932.7,2430186.5,1424635.5,1428417.2,2495894.2,7675.9,1528849.1,1477986.8,2493004.0,2415652.2,34002606.6,1129034.4,694790.4,21744.2,33.0,1398496.0,2142582.0
32,32,1024,5.509335,80347.76,75.0,50.007,50.298,11.878,3.79,8.489,24.619999999999997,46.691,1.4074558,98.817,127411.1,117033.8,8708.7,2444.5,319600.0,315987.2,549202.6,532320.8,316530.6,314232.6,547280.2,1527626.8,325063.0,317085.8,551830.8,534875.5,2024781.6,61968.4,38134.4,1223.7,33.0,76345.6,118039.2
16,128,2048,11.39337,103831.5,75.0,50.0,50.19599999999999,12.456999999999997,3.79,7.840999999999999,23.734,52.473,1.5624701,99.47,229852.0,210639.8,14516.5,4080.5,569887.8,563446.8,977798.2,947192.4,564343.0,560174.2,981797.4,2643744.4,577424.4,564428.8,984401.2,953908.2,3621760.6,111046.0,68336.0,2199.5,33.0,136108.8,210735.6
4,2,8,265.8326,18774035.0,0.0,0.008333333333333333,0.016666666666666666,12.471666666666666,3.7899999999999996,13.950000000000001,28.208333333333332,50.05666666666667,0.2731521666666667,99.96499999999999,47.2,7.8,624156.0,51732.8,3507088.5,3328650.1,6505734.0,5026210.0,3405040.1,3379400.0,5747375.6,1066.6,4444288.5,2988010.6,6406866.2,5130644.8,532067824.6,2654662.4,1633638.4,51055.2,33.0,3264857.6,4999412.2
32,1,32,211.09981000000002,6079240.0,0.0,0.0,1.044,12.56,3.79,8.828,22.474,54.38199999999999,1.6472092,99.994,1644023.3,1514704.1,482396.5,143844.6,4069505.9,4073846.1,6965942.8,6749541.8,3979857.3,3990758.6,6953159.2,8459648.2,4191388.2,4063589.8,7018797.5,6800609.3,98060851.8,3167372.0,1949152.0,60943.0,33.0,3889376.0,5956742.0
64,16,1024,8.157160000000001,123622.29,50.0,50.003,49.86299999999999,12.251,3.79,9.516,25.695000000000004,47.051,1.8004753999999998,99.321,181383.1,166709.7,16239.6,4961.9,450794.4,447650.5,773256.6,749192.8,447947.8,444847.4,778130.2,15434.8,460748.4,447324.2,775363.2,751455.4,4880213.2,175068.4,107734.4,3430.7,33.0,215372.8,332108.6
64,1,64,49.17617,6520972.0,0.0,0.0,0.572,12.648,3.79,8.912,22.910000000000004,53.734,1.6559656,99.992,748180.3,689155.1,226330.2,67143.2,1848393.2,1850036.6,3200311.3,3100980.9,1813512.6,1818457.0,3187336.9,459047.0,1912162.9,1853168.1,3149422.5,3051736.5,42975388.0,1441356.8,886988.8,27782.4,33.0,1766412.8,2707138.6
4,64,256,33.89602000000001,414932.82,75.0,50.015,49.91700000000001,12.303,3.79,12.767999999999997,28.988999999999997,48.41,0.500694,98.35700000000001,43.6,11.4,18277.1,1944.0,439573.6,424966.4,780471.0,689384.4,440061.6,423806.0,778557.0,8159.6,456994.3,425885.4,779938.8,688952.2,8814391.0,84364.8,51916.8,1630.4,33.0,103840.0,159252.0
1,64,64,132.619563,2182546.0,75.0,50.0,50.029999999999994,12.5,3.79,12.774999999999999,27.776,50.934999999999995,0.26890280000000005,49.995000000000005,46.7,0.0,93033.0,0.0,542262.0,662006.2,1053121.4,989705.2,610041.2,591965.6,1134375.8,908450.8,682309.1,585478.7,1134354.0,908502.6,46833310.2,117488.8,72300.8,2261.4,33.0,144633.6,221495.2
