==208834== NVPROF is profiling process 208834, command: ./0123HomeWork 8 4
==208834== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==208834== Profiling application: ./0123HomeWork 8 4
==208834== Profiling result:
==208834== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors         598         598         598         598
          1                    fb_subp0_write_sectors          53          53          53          53
          1                    fb_subp1_write_sectors        3285        3285        3285        3285
          1              l2_subp0_write_sector_misses         263         263         263         263
          1              l2_subp1_write_sector_misses         161         161         161         161
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries       41173       41173       41173       41173
          1          l2_subp1_read_tex_sector_queries       56425       56425       56425       56425
          1         l2_subp0_write_tex_sector_queries     2575902     2575902     2575902     2575902
          1         l2_subp1_write_tex_sector_queries     2577419     2577419     2577419     2577419
          1             l2_subp0_read_tex_hit_sectors       45719       45719       45719       45719
          1             l2_subp1_read_tex_hit_sectors       51697       51697       51697       51697
          1            l2_subp0_write_tex_hit_sectors     2657906     2657906     2657906     2657906
          1            l2_subp1_write_tex_hit_sectors     2505308     2505308     2505308     2505308
          1        l2_subp0_total_read_sector_queries       45619       45619       45619       45619
          1        l2_subp1_total_read_sector_queries       57846       57846       57846       57846
          1       l2_subp0_total_write_sector_queries     2565225     2565225     2565225     2565225
          1       l2_subp1_total_write_sector_queries     2598592     2598592     2598592     2598592
          1                         elapsed_cycles_sm  1487444240  1487444240  1487444240  1487444240
          1                              generic_load      633100      633100      633100      633100
          1                             generic_store     4139500     4139500     4139500     4139500
          1                               global_load       12183       12183       12183       12183
          1                              global_store          33          33          33          33
          1                                local_load     1558304     1558304     1558304     1558304
          1                               local_store     1023032     1023032     1023032     1023032
