==197497== NVPROF is profiling process 197497, command: ./0123HomeWork 16 32
==197497== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==197497== Profiling application: ./0123HomeWork 16 32
==197497== Profiling result:
==197497== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors          34          34          34          34
          1                     fb_subp1_read_sectors           1           1           1           1
          1                    fb_subp0_write_sectors        4165        4165        4165        4165
          1                    fb_subp1_write_sectors        5642        5642        5642        5642
          1              l2_subp0_write_sector_misses        3912        3912        3912        3912
          1              l2_subp1_write_sector_misses        3923        3923        3923        3923
          1               l2_subp0_read_sector_misses          68          68          68          68
          1               l2_subp1_read_sector_misses          52          52          52          52
          1          l2_subp0_read_tex_sector_queries       10252       10252       10252       10252
          1          l2_subp1_read_tex_sector_queries       12099       12099       12099       12099
          1         l2_subp0_write_tex_sector_queries      618472      618472      618472      618472
          1         l2_subp1_write_tex_sector_queries      600921      600921      600921      600921
          1             l2_subp0_read_tex_hit_sectors       10986       10986       10986       10986
          1             l2_subp1_read_tex_hit_sectors       11338       11338       11338       11338
          1            l2_subp0_write_tex_hit_sectors      604796      604796      604796      604796
          1            l2_subp1_write_tex_hit_sectors      608537      608537      608537      608537
          1        l2_subp0_total_read_sector_queries       13298       13298       13298       13298
          1        l2_subp1_total_read_sector_queries       13811       13811       13811       13811
          1       l2_subp0_total_write_sector_queries      609636      609636      609636      609636
          1       l2_subp1_total_write_sector_queries      609838      609838      609838      609838
          1                         elapsed_cycles_sm    45940606    45940606    45940606    45940606
          1                              generic_load       37232       37232       37232       37232
          1                             generic_store      243440      243440      243440      243440
          1                               global_load         732         732         732         732
          1                              global_store          33          33          33          33
          1                                local_load       91808       91808       91808       91808
          1                               local_store       61060       61060       61060       61060
