==233890== NVPROF is profiling process 233890, command: ./0123HomeWork 1 4
==233890== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==233890== Profiling application: ./0123HomeWork 1 4
==233890== Profiling result:
==233890== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors         260         260         260         260
          1                    fb_subp0_write_sectors         250         250         250         250
          1                    fb_subp1_write_sectors         248         248         248         248
          1              l2_subp0_write_sector_misses         222         222         222         222
          1              l2_subp1_write_sector_misses         296         296         296         296
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           4           4           4           4
          1          l2_subp0_read_tex_sector_queries       13077       13077       13077       13077
          1          l2_subp1_read_tex_sector_queries       21786       21786       21786       21786
          1         l2_subp0_write_tex_sector_queries      966612      966612      966612      966612
          1         l2_subp1_write_tex_sector_queries      879569      879569      879569      879569
          1             l2_subp0_read_tex_hit_sectors       17412       17412       17412       17412
          1             l2_subp1_read_tex_hit_sectors       17414       17414       17414       17414
          1            l2_subp0_write_tex_hit_sectors      923025      923025      923025      923025
          1            l2_subp1_write_tex_hit_sectors      923055      923055      923055      923055
          1        l2_subp0_total_read_sector_queries       15165       15165       15165       15165
          1        l2_subp1_total_read_sector_queries       23803       23803       23803       23803
          1       l2_subp0_total_write_sector_queries      923108      923108      923108      923108
          1       l2_subp1_total_write_sector_queries      923154      923154      923154      923154
          1                         elapsed_cycles_sm  4131483376  4131483376  4131483376  4131483376
          1                              generic_load      226408      226408      226408      226408
          1                             generic_store     1480360     1480360     1480360     1480360
          1                               global_load        4355        4355        4355        4355
          1                              global_store          33          33          33          33
          1                                local_load      557344      557344      557344      557344
          1                               local_store      365788      365788      365788      365788
