==203007== NVPROF is profiling process 203007, command: ./0123HomeWork 8 256
==203007== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==203007== Profiling application: ./0123HomeWork 8 256
==203007== Profiling result:
==203007== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors         150         150         150         150
          1                    fb_subp1_write_sectors          72          72          72          72
          1              l2_subp0_write_sector_misses         155         155         155         155
          1              l2_subp1_write_sector_misses          97          97          97          97
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries       92742       92742       92742       92742
          1          l2_subp1_read_tex_sector_queries       92919       92919       92919       92919
          1         l2_subp0_write_tex_sector_queries     3149664     3149664     3149664     3149664
          1         l2_subp1_write_tex_sector_queries     3155841     3155841     3155841     3155841
          1             l2_subp0_read_tex_hit_sectors       94238       94238       94238       94238
          1             l2_subp1_read_tex_hit_sectors       95583       95583       95583       95583
          1            l2_subp0_write_tex_hit_sectors     3074272     3074272     3074272     3074272
          1            l2_subp1_write_tex_hit_sectors     3080289     3080289     3080289     3080289
          1        l2_subp0_total_read_sector_queries      108072      108072      108072      108072
          1        l2_subp1_total_read_sector_queries      108843      108843      108843      108843
          1       l2_subp0_total_write_sector_queries     3135339     3135339     3135339     3135339
          1       l2_subp1_total_write_sector_queries     3139839     3139839     3139839     3139839
          1                         elapsed_cycles_sm    95539220    95539220    95539220    95539220
          1                              generic_load      190788      190788      190788      190788
          1                             generic_store     1247460     1247460     1247460     1247460
          1                               global_load        3733        3733        3733        3733
          1                              global_store          33          33          33          33
          1                                local_load      416672      416672      416672      416672
          1                               local_store      276748      276748      276748      276748
